k, Result
1, 0.006944444444444444
2, 0.0
3, 0.0023148148148148147
4, 0.0023148148148148147
5, 0.0023148148148148147
6, 0.0037615740740740734
7, 0.002025462962962963
8, 0.004629629629629629
9, 0.002893518518518519
10, 0.004436728395061728
11, 0.004533179012345679
12, 0.004918981481481482
13, 0.006269290123456789
14, 0.005401234567901234
15, 0.006285365226337446
16, 0.006679205246913579
17, 0.006430041152263372
18, 0.00749099794238683
19, 0.007619598765432098
20, 0.00790895061728395
21, 0.009026170267489711
22, 0.009062339248971192
23, 0.009311503343621397
24, 0.00995048868312757
25, 0.010762281378600818
26, 0.010919013631687239
27, 0.011083783436213987
28, 0.01184601123113854
29, 0.012000734096364879
30, 0.012732151277434838
31, 0.013032889660493822
32, 0.013492704582475992
33, 0.01397093889317558
34, 0.014479314021776398
35, 0.014224121763545948
36, 0.015334866719535888
37, 0.01514888670981938
38, 0.015422833254743935
39, 0.015348820801897572
40, 0.01609631308584819
41, 0.01589604409579332
42, 0.01639180473393918
43, 0.016016495734739362
44, 0.016164185742455414
45, 0.01647225001875428
46, 0.016191954366355163
47, 0.015754452022069324
48, 0.01631303393900748
49, 0.015473123767575439
50, 0.015070018236311152
51, 0.015341425138245879
52, 0.01474674401023805
53, 0.014262411765546408
54, 0.013434027666145116
55, 0.014034143134006022
56, 0.01281097943914958
57, 0.012907904495233827
58, 0.01164672212775618
59, 0.011391012018024753
60, 0.010195502213501972
61, 0.010389360077938444
62, 0.009135133045291302
63, 0.009145293167704202
64, 0.007393327118123029
65, 0.006651155990913
66, 0.008052722047343456
67, 0.007066383549808902
68, 0.0053060155921924
69, 0.00505745055405025
70, 0.003893920211586556
71, 0.0038176756869824206
72, 0.0032569456165873613
73, 0.003042656262279591
74, 0.002402964884967258
75, 0.001959518101595344
76, 9.672886556237652E-4
77, 0.0
78, 0.005897022338985019
