k, Result
1, NaN
2, 0.0
3, NaN
4, NaN
5, 0.0
6, 0.0
7, 0.0
8, 0.0
9, 0.6666666666666666
10, 0.0
11, 0.0
12, 0.09532215357458076
13, 0.1944444444444444
14, 0.17414248021108178
15, 0.24732137900405257
16, 0.08887060275663448
17, 0.2863711605664888
18, 0.3532667115127221
19, 0.34627533561463536
20, 0.5503518563455472
21, 0.4844310301878704
22, 0.5805415172473337
23, 0.6614479195934436
24, 0.5688647077092684
25, 0.613211143489892
26, 0.5279998924187332
27, 0.6102650528861014
28, 0.6738933778210243
29, 0.6135090839668
30, 0.6855613667922833
31, 0.7539317808921776
32, 0.768413086647096
33, 0.760987839296644
34, 0.7277438868698598
35, 0.7393326270881049
36, 0.7992971250787299
37, 0.7611999256725163
38, 0.7158695530886583
39, 0.788549780107295
40, 0.8024231848544181
41, 0.8315538363126461
42, 0.8637912658235121
43, 0.8360252973074509
44, 0.8266157757891253
45, 0.8717453787917894
46, 0.8448054787178259
47, 0.841947884724054
48, 0.7776532575132832
49, 0.8457750500002194
50, 0.8705549694324181
51, 0.8972531628782349
52, 0.9157798564634131
53, 0.9150463765814376
54, 0.8994989471057993
55, 0.9317674105935353
56, 0.8886446527775597
57, 0.9056633061075468
58, 0.8831501051352554
59, 0.7762372669735655
60, 0.8836220755971796
61, 0.9391574990629609
62, 0.9543391185997102
63, 0.9635501057076419
64, 0.9636221253301999
65, 0.958396474321688
66, 0.9773745128012444
67, 0.9455880513051083
68, 0.9102644034550251
69, 0.9308195751922544
70, 0.9078978833731776
71, 0.6775465510205947
72, 1.0
73, 1.0
74, 1.0
75, 1.0
76, 1.0
77, 1.0
78, 1.0
