k, Result
1, NaN
2, 0.0
3, NaN
4, NaN
5, 0.0
6, 0.0
7, 0.0
8, 0.0
9, 0.0
10, 0.0
11, 0.0
12, 0.0
13, 0.0
14, 0.015831134564643797
15, 0.0
16, 0.0
17, 0.004965973882655875
18, 0.006740778240878796
19, 0.019544617004474865
20, 0.013859593451925414
21, 0.004692415087562784
22, 0.019314793516100288
23, 0.007638669481813273
24, 0.012948566392460323
25, 0.018653190971915833
26, 0.02438867318678872
27, 0.020949973490289753
28, 0.028031745656262194
29, 0.031630305420727034
30, 0.03363689491188334
31, 0.02920516640931665
32, 0.04417218613309499
33, 0.04625553018097573
34, 0.045513371611130546
35, 0.05678148316851993
36, 0.057522214895304596
37, 0.08189488014811185
38, 0.07611677575985999
39, 0.0855224291129154
40, 0.09691817185315263
41, 0.09544422945941902
42, 0.09681112726491675
43, 0.11984293043150407
44, 0.12964191541684045
45, 0.11166760548715488
46, 0.1493611675994499
47, 0.1714336576110648
48, 0.22487891941968283
49, 0.208541959312208
50, 0.20301303339549892
51, 0.20284276230202655
52, 0.21217918484266834
53, 0.26312689944899653
54, 0.3033116949109764
55, 0.18009610324130632
56, 0.2948057118358709
57, 0.4624149502994516
58, 0.4607272300690717
59, 0.4599453167999949
60, 0.4720231622124838
61, 0.41618185757072723
62, 0.43633416770844724
63, 0.44450600356858283
64, 0.653748626663345
65, 0.579796958494252
66, 0.24681866731077357
67, 1.0
68, 1.0
69, 1.0
70, 1.0
71, 1.0
72, 1.0
73, 1.0
74, 1.0
75, 1.0
76, 1.0
77, 1.0
78, 1.0
