k, Result
1, 0.0
2, 7.716049382716049E-4
3, 7.716049382716049E-4
4, 7.716049382716049E-4
5, 0.0010288065843621398
6, 0.0014146090534979422
7, 0.0023576817558299042
8, 0.0035365226337448555
9, 0.003922325102880658
10, 0.0054762517146776405
11, 0.006169267261088249
12, 0.008130429812528577
13, 0.01061671239140375
14, 0.01413418305136412
15, 0.016517399744280174
16, 0.021046014221239986
17, 0.026511813811410857
18, 0.03207886008865518
19, 0.03946864442031194
20, 0.047737862569645545
21, 0.05664370661265784
22, 0.06580264532245816
23, 0.0761608991667231
24, 0.08844402346344654
25, 0.10348109145994097
26, 0.11726624007298081
27, 0.13365000220214943
28, 0.15159151861107348
29, 0.1704489961462091
30, 0.19018978937543157
31, 0.21122237643883562
32, 0.23391965543770377
33, 0.25839789645677586
34, 0.28357788303307263
35, 0.3096299662978032
36, 0.33946264539249826
37, 0.3658696179145931
38, 0.3925536321719051
39, 0.4194302178701823
40, 0.4482617942171484
41, 0.4773407403522093
42, 0.5081544609840263
43, 0.5368522570145988
44, 0.5666688005876401
45, 0.6025343414900298
46, 0.6306385142507065
47, 0.6561728859622146
48, 0.6805055086766207
49, 0.7029344348055782
50, 0.726330770536971
51, 0.7502802574648286
52, 0.7746448478941736
53, 0.7961729149170691
54, 0.8163869674382478
55, 0.8447581302813298
56, 0.8635665767865661
57, 0.8793922202347565
58, 0.8913772904465334
59, 0.9024154404791891
60, 0.9120035762240997
61, 0.9223183296161693
62, 0.9327860230871198
63, 0.9432751376110069
64, 0.9514152054293016
65, 0.9584678708387067
66, 0.9719650296464781
67, 0.9782961938100534
68, 0.9819164625404849
69, 0.9844557271395367
70, 0.9863622377051544
71, 0.9881106296384015
72, 0.9896181217656894
73, 0.9914051641123027
74, 0.9931912912082826
75, 0.9948966571126563
76, 0.9959336133568959
77, 0.9967303816383968
78, 1.0000000000000002
