k, Result
1, NaN
2, 0.0
3, NaN
4, NaN
5, 1.0
6, 0.6666666666666667
7, 0.8181818181818181
8, 0.818181818181818
9, 0.33333333333333337
10, 0.19999999999999998
11, 0.44329896907216493
12, 0.7519858781994703
13, 0.75
14, 0.8227792436235708
15, 0.9070671181924166
16, 0.31310429952684643
17, 0.3555269450064373
18, 0.3687455356214067
19, 0.7253553566728087
20, 0.49737741026263227
21, 0.6680746325723126
22, 0.7345325937140585
23, 0.5240171566941535
24, 0.44206723068942905
25, 0.3497633377740569
26, 0.5209213438992082
27, 0.5283653899620584
28, 0.6010215129295957
29, 0.5176308774918631
30, 0.6636289756365572
31, 0.589128019551784
32, 0.5169739546115567
33, 0.3590410969797929
34, 0.5181433801704622
35, 0.5625341316396079
36, 0.6780374977991785
37, 0.5515589177235429
38, 0.5581510102754312
39, 0.6468370059027372
40, 0.6049837183899429
41, 0.5737923851813647
42, 0.4128864612819548
43, 0.5143339963389516
44, 0.5794815535206367
45, 0.7417380221143727
46, 0.675552281168333
47, 0.6455652738192886
48, 0.5956800363756026
49, 0.6831467319152603
50, 0.6204817235536103
51, 0.6245271459654302
52, 0.3980296063868313
53, 0.5531666254987612
54, 0.6014361696005743
55, 0.8287481857151309
56, 0.7738878405418678
57, 0.7778353876910775
58, 0.6543343934173493
59, 0.6118496411263745
60, 0.7361130125926999
61, 0.6714547587729146
62, 0.636390075875504
63, 0.3251730340233217
64, 0.5821458199298001
65, 0.7432375755135441
66, 0.9198341229240073
67, 0.8895521022516527
68, 0.8487692840066935
69, 0.771990043867953
70, 0.6297074270211458
71, 0.5639633471689065
72, 0.895082573914432
73, 0.6498396373690667
74, 0.6562203750810793
75, 0.07156659937891437
76, 1.0
77, 1.0
78, 1.0
