k, Result
1, 0.0
2, 0.0
3, 0.0
4, 0.0
5, 0.0
6, 0.0
7, 0.0
8, 0.0
9, 0.0
10, 0.0
11, 0.0
12, 1.2860082304526747E-4
13, 0.0
14, 0.0
15, 6.430041152263374E-5
16, 9.645061728395061E-5
17, 2.357681755829904E-4
18, 2.94710219478738E-4
19, 1.0716735253772289E-4
20, 4.5188900320073153E-4
21, 2.1671620179850628E-4
22, 4.532782096225168E-4
23, 8.287608596250572E-4
24, 9.599416374536402E-4
25, 8.717160042224819E-4
26, 0.0014831101606293075
27, 0.0015840591606123729
28, 0.001837608627121825
29, 0.0018410568359187565
30, 0.002922008275612909
31, 0.003592884722857287
32, 0.0035529487133802245
33, 0.00427636141935323
34, 0.005409422800461387
35, 0.007049112695482657
36, 0.005986598101464931
37, 0.007437436317013553
38, 0.0086583117146353
39, 0.009300109768378176
40, 0.009423699423314523
41, 0.010158507491061643
42, 0.011762561352288455
43, 0.01322648302265124
44, 0.012637528281253625
45, 0.011671155132588016
46, 0.01763706862625168
47, 0.013599973239822594
48, 0.013466762258922214
49, 0.013221110524415724
50, 0.01510646533528034
51, 0.015028372119763378
52, 0.015400994925851764
53, 0.011596648533804153
54, 0.012412985479030353
55, 0.022596546128004494
56, 0.007875196467632307
57, 0.01050809924659891
58, 0.009971389319378632
59, 0.00858238321859255
60, 0.007728943385381638
61, 0.00860955966468942
62, 0.008833638595426869
63, 0.00886441990300665
64, 0.005853802972573406
65, 0.005242697710972785
66, 0.012581313152319426
67, 0.005337594850870811
68, 0.0014543064444407425
69, 0.002387297957595529
70, 0.0017863252886205615
71, 0.001658901829291492
72, 0.0014273406612012444
73, 0.0016791924209734873
74, 0.001645508560008786
75, 0.0016647918305047948
76, 7.223677729552953E-4
77, 6.950455928064834E-4
78, 0.003269618361603084
