k, Result
1, 0.0
2, 0.0
3, 0.0
4, 0.0
5, 0.0
6, 0.0
7, 0.0
8, 0.0
9, 0.0
10, 0.0
11, 0.0
12, 0.0
13, 8.573388203017832E-5
14, 0.0
15, 0.0
16, 4.286694101508915E-5
17, 6.430041152263374E-5
18, 1.5717878372199358E-4
19, 1.9647347965249197E-4
20, 7.144490169181526E-5
21, 2.76253619875019E-4
22, 1.4447746786567083E-4
23, 2.926594861894358E-4
24, 5.001143118427068E-4
25, 6.332135175870886E-4
26, 5.975351685323487E-4
27, 8.880887941935228E-4
28, 0.0010143411968591056
29, 0.0011739033148787917
30, 0.0011028608420313823
31, 0.0018660680642347877
32, 0.0021632063323272633
33, 0.002095018837933091
34, 0.002828191515301479
35, 0.0033890450190300204
36, 0.0040176143729971905
37, 0.003833744205220648
38, 0.004338690113295737
39, 0.005391457649984246
40, 0.005346049479369752
41, 0.00601693303870854
42, 0.006322776816620073
43, 0.007248293467034631
44, 0.00842985642251902
45, 0.007787001303969093
46, 0.008512456627276776
47, 0.010722657728453563
48, 0.009196751044483953
49, 0.009395171271875277
50, 0.009038011609761313
51, 0.010083504160124138
52, 0.010086422257469998
53, 0.011388438695619217
54, 0.009622767327232678
55, 0.009182322564440541
56, 0.014161751463677855
57, 0.009779601467325939
58, 0.007908609668024655
59, 0.008082481082342535
60, 0.00690005370285798
61, 0.007852311112377693
62, 0.007567413042890842
63, 0.007835677979877298
64, 0.004867298487709268
65, 0.005061017182334492
66, 0.01215833918154223
67, 0.0021351213394859153
68, 0.003443660940008697
69, 0.002387297957595529
70, 0.0017863252886205615
71, 0.0016589018292914922
72, 0.0014273406612012442
73, 0.0016791924209734873
74, 0.0016455085600087863
75, 0.0016647918305047952
76, 7.223677729552956E-4
77, 6.950455928064834E-4
78, 0.003269618361603084
