k, Result
1, NaN
2, 0.0
3, NaN
4, NaN
5, 0.0
6, 0.33333333333333337
7, 0.8181818181818181
8, 0.818181818181818
9, 0.33333333333333337
10, 0.14482758620689654
11, 0.3092783505154639
12, 0.5975286849073256
13, 0.5648148148148148
14, 0.7053649956024626
15, 0.6372619774607228
16, 0.5384694507303026
17, 0.5412911532094904
18, 0.7573319833283632
19, 0.62806001579363
20, 0.4931868665185822
21, 0.5892572660020045
22, 0.6434903533953521
23, 0.5402388366651473
24, 0.5649381206432005
25, 0.7077962676400388
26, 0.6574089500143069
27, 0.6402236382470334
28, 0.731510053435425
29, 0.5355344524021741
30, 0.5726247104945085
31, 0.5840638284178177
32, 0.5264612767115044
33, 0.69473479190965
34, 0.6818125846781434
35, 0.6899597689385812
36, 0.7649092321890107
37, 0.7225322193262852
38, 0.6114475737099686
39, 0.6071291801084974
40, 0.5825071446097396
41, 0.5066973466171237
42, 0.6850431306544684
43, 0.675803757416764
44, 0.7300431883007195
45, 0.8278095335694875
46, 0.7474375973303949
47, 0.7838001717522077
48, 0.6524335419195352
49, 0.6498009685744077
50, 0.6005923826914226
51, 0.4755852010602516
52, 0.6986331193799542
53, 0.7114772153520158
54, 0.780104519943318
55, 0.8881492719670856
56, 0.8371060248420791
57, 0.7996837947314003
58, 0.8103835501246502
59, 0.6514806439544488
60, 0.6505637974501
61, 0.6483063767781706
62, 0.406727476318384
63, 0.7441123613950306
64, 0.8142170208838418
65, 0.866018395802066
66, 0.9547633850327347
67, 0.9253102684833409
68, 0.8613883138955029
69, 0.7654552060061376
70, 0.8693678037097173
71, 0.535675831532421
72, 0.683362045302276
73, 0.6692167623795078
74, 0.20509270192268342
75, 1.0
76, 1.0
77, 1.0
78, 1.0
