k, Result
1, 0.0
2, 0.0
3, 0.0
4, 0.0
5, 0.0
6, 2.5720164609053495E-4
7, 0.0
8, 9.645061728395061E-4
9, 0.0
10, 2.2505144032921809E-4
11, 2.0004572473708272E-4
12, 4.3819539704313356E-4
13, 0.0013074417009602195
14, 0.0013872218411827466
15, 0.0011686533641551927
16, 0.0020242722146014327
17, 9.343405476807395E-4
18, 0.002035551247692594
19, 0.0022702279039441818
20, 0.0019856390455384506
21, 0.005247071244150338
22, 0.0035273053593907876
23, 0.004784548196554273
24, 0.005343067980500187
25, 0.006861884053803714
26, 0.007012348339820411
27, 0.0057246348401092505
28, 0.00989979643054215
29, 0.009511112338120945
30, 0.009986154781684763
31, 0.01038372262866433
32, 0.011566470190246893
33, 0.013386084980309824
34, 0.014010745966165965
35, 0.01158352778303079
36, 0.019937947121926255
37, 0.014743821813559994
38, 0.01640409724048363
39, 0.015131354282646206
40, 0.01659486236260016
41, 0.015654963696124208
42, 0.018613454702072426
43, 0.017747067077279712
44, 0.01441868923592599
45, 0.02594057690506387
46, 0.01775147605048814
47, 0.01672312515698604
48, 0.016632933161513788
49, 0.014177769322501007
50, 0.014116409279936732
51, 0.014215735784702139
52, 0.015648560530966076
53, 0.01412864389720874
54, 0.01013185788418128
55, 0.022306764063917104
56, 0.012784055913601738
57, 0.011943306955360462
58, 0.008151678757081062
59, 0.008154143005473931
60, 0.006156081775667333
61, 0.006578434074655067
62, 0.006318086624150267
63, 0.007356077659063577
64, 0.00571707946232876
65, 0.0029541501196534464
66, 0.011728811604975565
67, 0.005018875531900616
68, 0.002772572328829763
69, 0.0019407825353405025
70, 0.0013216313002794178
71, 0.0013309534481323467
72, 9.095333600451735E-4
73, 0.0011237437153760847
74, 0.0010798162444480928
75, 0.0013245360462607815
76, 7.223677729552956E-4
77, 0.0
78, 0.003269618361603084
