k, Result
1, 0.0
2, 0.0
3, 0.0
4, 0.0
5, 0.0
6, 0.0
7, 1.7146776406035664E-4
8, 0.0
9, 0.0
10, 0.0011145404663923178
11, 4.1438042981252845E-4
12, 7.525529644871207E-4
13, 0.0013503086419753086
14, 0.0010502400548696843
15, 6.721112973970768E-4
16, 0.002041736523903876
17, 0.0029086013310979024
18, 0.0027333297875493236
19, 0.0023571525343358897
20, 0.004778340869447407
21, 0.005454261459056601
22, 0.004276682994913827
23, 0.005935373411629889
24, 0.007871390591806051
25, 0.010345418385460473
26, 0.007880106208285585
27, 0.008894350013689194
28, 0.011826581635767185
29, 0.011526363286329059
30, 0.011198478719494101
31, 0.012470538533440212
32, 0.015871947060856706
33, 0.01792879610479652
34, 0.01749886642471052
35, 0.017877471420275248
36, 0.022262396544711554
37, 0.017031657153452957
38, 0.01825870343295137
39, 0.01736648223967294
40, 0.01791294035388026
41, 0.020600581281290057
42, 0.02391428739082269
43, 0.021115916487535535
44, 0.02251167424571193
45, 0.030256103182088184
46, 0.020509252531098848
47, 0.01831713105803764
48, 0.017821170179554275
49, 0.015368753953214383
50, 0.014761085141918082
51, 0.017886728060695738
52, 0.01948083450066381
53, 0.016871098477308197
54, 0.016171688429232722
55, 0.02557886989181714
56, 0.015758149843182287
57, 0.012556357721375236
58, 0.008494908389068889
59, 0.00842377146112013
60, 0.00679274883746127
61, 0.006136034378141876
62, 0.008259263971474893
63, 0.009206917571547086
64, 0.006527730110997296
65, 0.006033429393521588
66, 0.012933803598223022
67, 0.005694477853197571
68, 0.003147921126392365
69, 0.0018778134327750145
70, 0.001284631585083905
71, 0.0013900223742799452
72, 0.0010594752833340772
73, 8.466459199538083E-4
74, 0.001645508560008786
75, 0.0016647918305047948
76, 7.223677729552953E-4
77, 6.950455928064834E-4
78, 0.003269618361603084
