k, Result
1, 0.027777777777777776
2, 0.027777777777777776
3, 0.07407407407407407
4, 0.06481481481481481
5, 0.07407407407407407
6, 0.16203703703703703
7, 0.039351851851851846
8, 0.050925925925925916
9, 0.05092592592592592
10, 0.08847736625514403
11, 0.07073045267489712
12, 0.058127572016460904
13, 0.021604938271604937
14, 0.019547325102880656
15, 0.050368655692729754
16, 0.03187157064471879
17, 0.024969993141289427
18, 0.00932355967078189
19, 0.0025720164609053485
20, 7.501714677640601E-4
21, 0.024434156378600816
22, 0.0
23, 0.0
24, 0.0
25, 0.0
26, 0.0
27, 0.0
28, 0.0
29, 0.0
30, 0.0
31, 0.0
32, 0.0
33, 0.0
34, 0.0
35, 0.0
36, 0.0
37, 0.0
38, 0.0
39, 0.0
40, 0.0
41, 0.0
42, 0.0
43, 0.0
44, 0.0
45, 0.0
46, 0.0
47, 0.0
48, 0.0
49, 0.0
50, 0.0
51, 0.0
52, 0.0
53, 0.0
54, 0.0
55, 0.0
56, 0.0
57, 0.0
58, 0.0
59, 0.0
60, 0.0
61, 0.0
62, 0.0
63, 0.0
64, 0.0
65, 0.0
66, 0.0
67, 0.0
68, 0.0
69, 0.0
70, 0.0
71, 0.0
72, 0.0
73, 0.0
74, 0.0
75, 0.0
76, 0.0
77, 0.0
78, 0.0
