k, Result
1, 0.0
2, 0.0
3, 0.0
4, 0.0
5, 0.0
6, 3.814697265625E-6
7, 7.2479248046875E-5
8, 2.09808349609375E-4
9, 2.09808349609375E-4
10, 6.239414215087891E-4
11, 6.314516067504883E-4
12, 7.090568542480469E-4
13, 9.300708770751953E-4
14, 0.0013506412506103516
15, 0.0017242282629013062
16, 0.003373652696609497
17, 0.0064125508069992065
18, 0.00892762839794159
19, 0.012960731983184814
20, 0.018667221069335938
21, 0.02306952979415655
22, 0.027573956176638603
23, 0.031826313585042953
24, 0.03985610697418451
25, 0.050485167652368546
26, 0.05994252453092486
27, 0.07201548863667995
28, 0.0837834837147966
29, 0.10269846778828651
30, 0.12062783105648123
31, 0.1379188284627162
32, 0.15751655153144384
33, 0.18087326944805682
34, 0.20794976777688134
35, 0.2318054521238082
36, 0.259294210562075
37, 0.2855808390177117
38, 0.31682798129440926
39, 0.34764394366038687
40, 0.3824571830368768
41, 0.4169882720500482
42, 0.45456594477013823
43, 0.48787739577028333
44, 0.5217081842461084
45, 0.5669222540357168
46, 0.5947704507927938
47, 0.6202597538787131
48, 0.6489655177533109
49, 0.6749738270644912
50, 0.7054624335627864
51, 0.7374579350953923
52, 0.770379586731508
53, 0.7958670543364974
54, 0.8178399312204192
55, 0.8558693865732039
56, 0.8743683399999398
57, 0.8873357653196834
58, 0.8969718899725301
59, 0.9078242154961949
60, 0.9169630677741303
61, 0.9279226977682136
62, 0.9399928012886463
63, 0.9524333476331464
64, 0.960748994129851
65, 0.9669108276586176
66, 0.9819121915275137
67, 0.9866722490879121
68, 0.9887445594271083
69, 0.9899063201356424
70, 0.9908664796029174
71, 0.9920392313239801
72, 0.9929179017254466
73, 0.9941071077119235
74, 0.9954221361757014
75, 0.9967609358665661
76, 0.9974857845295433
77, 0.9979464725530485
78, 1.0
