k, Result
1, 0.0
2, 0.0
3, 0.0
4, 0.0
5, 0.0
6, 0.0
7, 0.0
8, 0.0
9, 0.0
10, 1.373291015625E-4
11, 7.510185241699219E-6
12, 5.793571472167969E-5
13, 1.3947486877441406E-4
14, 1.2874603271484375E-4
15, 1.3075768947601318E-4
16, 0.0011730194091796875
17, 0.0018052607774734497
18, 0.0013014674186706543
19, 3.421604633331299E-4
20, 0.0023531466722488403
21, 0.002569287084043026
22, 0.0012833615764975548
23, 0.0029530366882681847
24, 0.005449449643492699
25, 0.008438908495008945
26, 0.0052814200753346086
27, 0.0064600297482684255
28, 0.006805256707593799
29, 0.011411039857193828
30, 0.009018628828926012
31, 0.009135717496974394
32, 0.01430419673124561
33, 0.018288047074747737
34, 0.017974715097807348
35, 0.016189205685805064
36, 0.02060491618613014
37, 0.015335813908677665
38, 0.022602857552556088
39, 0.019821778771529353
40, 0.02209722767202038
41, 0.026031681332597145
42, 0.032297580869908415
43, 0.02370297824768386
44, 0.02565950717371379
45, 0.038974515018480815
46, 0.019659763979461786
47, 0.016327459578064918
48, 0.02188325860385021
49, 0.017882379815944205
50, 0.020172322523933417
51, 0.026137358356720597
52, 0.029089248821776437
53, 0.020249475577713838
54, 0.017915141306616533
55, 0.03549000070046304
56, 0.015698821298265386
57, 0.009958002079514472
58, 0.005960323319389005
59, 0.008522202821218627
60, 0.006547077694364134
61, 0.00703572813347364
62, 0.010265048591524106
63, 0.011661061457438393
64, 0.006504511908705268
65, 0.005390246824397593
66, 0.014652580873870669
67, 0.004434897222024947
68, 0.001787809624679948
69, 8.182451273337499E-4
70, 5.464741987286637E-4
71, 9.710300909762104E-4
72, 6.109417535891115E-4
73, 7.070540267353209E-4
74, 0.0012018540418359258
75, 0.0013059632982796998
76, 4.577593146990466E-4
77, 4.0650841553713235E-4
78, 0.0020535274469515308
