k, Result
1, 0.0
2, 0.0
3, 0.0
4, 0.0
5, 0.0
6, 0.0
7, 0.0
8, 0.0
9, 0.0
10, 0.0
11, 0.0
12, 3.814697265625E-6
13, 1.64031982421875E-4
14, 0.001903533935546875
15, 0.001903533935546875
16, 0.00379180908203125
17, 0.02169036865234375
18, 0.07135009765625
19, 0.12289929389953613
20, 0.14664721488952637
21, 0.1477367877960205
22, 0.15033459663391113
23, 0.15630769729614258
24, 0.17072224617004395
25, 0.2085052728652954
26, 0.24923676252365112
27, 0.32637206465005875
28, 0.3677019663155079
29, 0.41067277640104294
30, 0.4311680356040597
31, 0.44579037744551897
32, 0.4589647091925144
33, 0.47774288058280945
34, 0.5235712379217148
35, 0.5591849721968174
36, 0.5980025815078989
37, 0.6568943972233683
38, 0.6880821010563523
39, 0.7090576424379833
40, 0.7336734585114755
41, 0.7460676469781902
42, 0.7596877453033812
43, 0.7762057470099535
44, 0.8139087909657974
45, 0.835591752511391
46, 0.8507667866524571
47, 0.8665157556406484
48, 0.8929862349641553
49, 0.9071582729511647
50, 0.919181388092511
51, 0.9261016021928299
52, 0.9300118293858759
53, 0.9346419662888366
54, 0.9401240841243634
55, 0.960178861443751
56, 0.9665270835031379
57, 0.9702863895830092
58, 0.9743520241721058
59, 0.9813244898008406
60, 0.9850171293476819
61, 0.9885387082558452
62, 0.9891922302411729
63, 0.9895968875600261
64, 0.9898001967298455
65, 0.9900524104715771
66, 0.9966437074054326
67, 0.9979527279082259
68, 0.9982651736178507
69, 0.9984505967449433
70, 0.9986914219061163
71, 0.9990944018363415
72, 0.999295325824189
73, 0.9994540566382817
74, 0.9994574874299325
75, 0.9994602776459907
76, 0.9994613625381668
77, 0.9994614316029207
78, 1.0
