k, Result
1, 0.0
2, 0.0
3, 0.0
4, 0.0
5, 0.0
6, 0.0
7, 0.0
8, 0.0
9, 0.0
10, 0.0
11, 0.0
12, 0.0
13, 0.0
14, 0.0
15, 0.0
16, 0.0
17, 0.0
18, 0.0
19, 0.0
20, 0.0
21, 0.0
22, 0.0
23, 0.0
24, 2.0116567611694336E-4
25, 0.0
26, 8.940696716308594E-7
27, 6.034970283508301E-6
28, 8.968636393547058E-6
29, 4.269741475582123E-4
30, 0.001088809221982956
31, 0.001244712620973587
32, 0.0015401747077703476
33, 5.232344847172499E-4
34, 0.019081123173236847
35, 0.012164481449872255
36, 0.0037120255001354963
37, 2.3749598767608404E-4
38, 0.0034356613468844444
39, 0.009105820645345375
40, 0.0121862790256273
41, 0.017581185966264457
42, 0.014536727554514073
43, 0.014369999091286445
44, 0.041393055698790704
45, 0.04357431638345588
46, 0.03849603092021425
47, 0.02056571253160655
48, 0.01162795800269123
49, 0.015025102089566644
50, 0.027769733029572308
51, 0.048748458634690905
52, 0.04357504455970229
53, 0.020349163831269834
54, 0.02525293859650901
55, 0.06986764645952093
56, 0.0337542992182307
57, 0.03374497518808539
58, 0.022110023209364726
59, 0.018432742752992226
60, 0.014967794761972186
61, 0.021076176500962163
62, 0.03466872475929961
63, 0.030203716300718497
64, 0.011190186726445006
65, 0.01133253121312805
66, 0.050686677997324736
67, 0.007964761540504739
68, 0.0035905052244231683
69, 0.003559846677723577
70, 0.0022673466207319137
71, 0.0021274411849514507
72, 0.001872043380441113
73, 0.0025671428424516307
74, 0.004115754134517147
75, 0.0032204599102101383
76, 8.421964651006419E-4
77, 0.001081754810570601
78, 0.006527624760813033
