k, Result
1, 0.0
2, 0.0
3, 0.0
4, 0.0
5, 0.0
6, 0.0
7, 0.0
8, 0.0
9, 0.0
10, 0.0
11, 0.0
12, 0.0
13, 0.0
14, 0.0
15, 0.0
16, 0.0
17, 0.0
18, 0.0
19, 0.0
20, 0.0
21, 0.0
22, 0.0
23, 0.0
24, 0.0
25, 0.0
26, 0.0
27, 0.0
28, 0.0
29, 2.2351741790771484E-8
30, 0.0
31, 2.4139881134033203E-6
32, 4.827976226806641E-6
33, 0.0
34, 2.0116567611694336E-7
35, 5.280598998069763E-4
36, 7.334165275096893E-8
37, 5.762558430433273E-7
38, 4.882458597421646E-6
39, 1.3568729627877474E-5
40, 3.7275266367942095E-4
41, 7.036347524262965E-4
42, 8.24017624836415E-4
43, 0.0015606001834385097
44, 0.0023398087505484
45, 0.01014044086332433
46, 0.0069810101558687165
47, 0.0036223150782461744
48, 4.7382464254042134E-4
49, 0.0052938442495360505
50, 0.008018322858333704
51, 0.008861152835379471
52, 0.012117051013547098
53, 0.012389000434268382
54, 0.012135918357557784
55, 0.026375880281023
56, 0.03060348753319886
57, 0.030443065859344642
58, 0.02219440201909606
59, 0.016831154093601697
60, 0.013833191015180546
61, 0.019762418812021565
62, 0.0323743780043273
63, 0.025748478688946363
64, 0.007825188224714452
65, 0.009797930759759765
66, 0.04920647043904447
67, 0.003087515171976918
68, 0.0036602928221478592
69, 0.0035623811878293665
70, 0.002615547498047377
71, 0.0021274411849514507
72, 0.001872043380441113
73, 0.0025671428424516307
74, 0.004115754134517147
75, 0.0032204599102101383
76, 8.421964651006419E-4
77, 0.001081754810570601
78, 0.006527624760813033
