k, Result
1, 0.0
2, 0.0
3, 0.0
4, 0.0
5, 0.0
6, 0.0
7, 0.0
8, 0.0
9, 0.0
10, 0.0
11, 0.0
12, 0.0
13, 0.0
14, 0.0
15, 0.0
16, 0.0
17, 0.0
18, 5.9604644775390625E-8
19, 0.0
20, 6.4373016357421875E-6
21, 1.2874603271484375E-5
22, 0.0
23, 0.0
24, 2.0116567611694336E-4
25, 1.564621925354004E-7
26, 8.940696716308594E-7
27, 1.0415911674499512E-5
28, 1.7473474144935608E-5
29, 4.360489547252655E-4
30, 9.061964228749275E-4
31, 0.0014403127133846283
32, 0.001146845519542694
33, 4.8380601219832897E-4
34, 0.009338584262877703
35, 0.008657547296024859
36, 0.003697385807754472
37, 3.170049749314785E-4
38, 0.0028877029835712165
39, 0.0055623849330004305
40, 0.010724942883825861
41, 0.017567565548233688
42, 0.013286338187754154
43, 0.01479612850016565
44, 0.023995570010811207
45, 0.0266932739650656
46, 0.035842514569139894
47, 0.01948500233447703
48, 0.00973718733757778
49, 0.011197154610272264
50, 0.0253025724600775
51, 0.04664306966242293
52, 0.043042029412163174
53, 0.019206929408937867
54, 0.025883953645575275
55, 0.059132648425659795
56, 0.021080494711327447
57, 0.0319227014519754
58, 0.021240991310804702
59, 0.015873009432965546
60, 0.008552715666723998
61, 0.020437232862292376
62, 0.03440768050620591
63, 0.029994240890204082
64, 0.011132473857252023
65, 0.011133570707329454
66, 0.05074815017110801
67, 0.006712099060205645
68, 0.002236609147261426
69, 0.00352985486382007
70, 0.0021554374393808473
71, 0.0018052238404973053
72, 9.347630738893997E-4
73, 0.0025671428424516307
74, 0.004115754134517147
75, 0.0032204599102101383
76, 8.421964651006419E-4
77, 0.001081754810570601
78, 0.006527624760813033
