k, Result
1, 0.0
2, 0.0
3, 0.0
4, 0.0
5, 0.0
6, 0.0
7, 0.0
8, 0.0
9, 0.0
10, 0.0
11, 0.0
12, 0.0
13, 0.0
14, 0.0
15, 0.0
16, 0.0
17, 0.0
18, 0.0
19, 0.0
20, 0.0
21, 0.0
22, 0.0
23, 0.0
24, 0.0
25, 0.0
26, 0.0
27, 0.0
28, 0.0
29, 0.0
30, 0.0
31, 0.0
32, 4.023313522338867E-7
33, 8.046627044677734E-7
34, 0.0
35, 0.0
36, 1.2578442692756653E-5
37, 0.0
38, 6.984919309616089E-8
39, 8.195638656616211E-7
40, 1.6019475879147649E-6
41, 3.406632458791137E-5
42, 1.1573944357223809E-4
43, 1.1401090887375176E-4
44, 2.0184452296234667E-4
45, 4.165468999417499E-5
46, 0.0015654485468985513
47, 0.0010583197545201983
48, 3.927869179278787E-4
49, 3.676422784337774E-5
50, 4.142389616390574E-4
51, 9.224876803273219E-4
52, 0.0012297894963921863
53, 0.0017285671765421284
54, 0.0015327275361869397
55, 0.0014656765005724992
56, 0.004134691593264961
57, 0.0043729961641361115
58, 0.0037786985503061032
59, 0.00242689967388543
60, 0.0012228479056375363
61, 0.0020018814164330934
62, 0.003242319693200102
63, 0.005445822140018208
64, 0.00482477180812424
65, 0.0022630717538874023
66, 0.0027709080269531228
67, 0.008163230206635674
68, 0.0036602928221478592
69, 0.0035623811878293665
70, 0.002615547498047377
71, 0.0021274411849514507
72, 0.001872043380441113
73, 0.0025671428424516307
74, 0.004115754134517147
75, 0.0032204599102101383
76, 8.421964651006419E-4
77, 0.001081754810570601
78, 0.006527624760813033
