k, Result
1, NaN
2, 1.0
3, NaN
4, NaN
5, 1.0
6, 1.0
7, 0.18181818181818182
8, 0.18181818181818177
9, 1.0
10, 0.38263665594855306
11, 1.0
12, 0.5878986099754703
13, 0.37469975980784637
14, 0.49693721286370585
15, 0.5368528236860657
16, 0.32594573939625515
17, 0.7321509093641967
18, 0.6293670175157079
19, 0.5768187346035111
20, 0.5999429813620328
21, 0.673865566610046
22, 0.5470409894344552
23, 0.651948801601147
24, 0.7445816951844222
25, 0.6150360308258686
26, 0.6364808448779495
27, 0.6435025028247943
28, 0.7760412165814407
29, 0.7067121386928075
30, 0.7162713034225218
31, 0.6227538813171088
32, 0.7420648199068052
33, 0.7907785153727812
34, 0.6522710285541528
35, 0.648374331540198
36, 0.8127461797491266
37, 0.7942181417209755
38, 0.7195049004728037
39, 0.6381119393664079
40, 0.7218953544527046
41, 1.0
42, 0.7573333423764643
43, 0.0
44, 1.0
45, 1.0
