k, Result
1, NaN
2, 0.0
3, NaN
4, NaN
5, 0.0
6, 0.0
7, 0.18181818181818182
8, 0.0
9, 0.0
10, 0.6688102893890675
11, 0.18530351437699677
12, 0.5167620605069501
13, 0.48839071257005606
14, 0.2679938744257273
15, 0.3056317067439493
16, 0.45915170042032855
17, 0.5959717420712461
18, 0.5003134073141745
19, 0.4829586204746016
20, 0.5980542389793664
21, 0.6107162876403844
22, 0.45097847248191586
23, 0.47993003074304574
24, 0.6172051138604798
25, 0.6074830548326772
26, 0.5531605745576182
27, 0.5587463761637781
28, 0.6503557588308824
29, 0.587682496800826
30, 0.5774979924536586
31, 0.5811196848841281
32, 0.6479196024679897
33, 0.6551889587186306
34, 0.7112381989667435
35, 0.7406236834607732
36, 0.6525725172701793
37, 0.6944402620313799
38, 0.791733286234584
39, 0.7054392144201124
40, 0.4661063369162026
41, 1.0
42, 1.0
43, 1.0
44, 1.0
45, 1.0
