k, Result
1, 0.0
2, 0.0
3, 0.0
4, 0.0
5, 0.0
6, 0.0
7, 0.0
8, 1.8816764231589204E-6
9, 0.0
10, 0.0
11, 0.0
12, 0.0
13, 1.3938343875251261E-6
14, 1.1382980831455196E-5
15, 8.548850910154107E-6
16, 1.3241426681488698E-6
17, 1.115067510020101E-6
18, 6.969171937625631E-7
19, 2.3437067108755827E-6
20, 1.0201663168447792E-5
21, 4.196416616927498E-5
22, 5.3500296705038495E-5
23, 4.4208067454870995E-5
24, 1.5803959655261745E-4
25, 3.9706498618123186E-5
26, 3.254781958904078E-4
27, 7.498057130941978E-4
28, 6.810074271850782E-4
29, 1.376427992778836E-4
30, 0.007660441549269575
31, 0.004432159948979737
32, 0.0025528604797625475
33, 2.554047317386461E-4
34, 0.0066551953370099105
35, 0.006564141935179171
36, 0.010725471266352765
37, 0.0026260797834432416
38, 0.0019034689946036067
39, 0.017322931913475517
40, 0.019867710015677317
41, 0.017060851757797934
42, 0.005707258289161348
43, 0.006430057141574223
44, 0.01717313071922194
45, 0.03421272169068035
46, 0.014957738068694142
47, 0.007022143735512419
48, 0.0038573023513946677
49, 0.02004066291814438
50, 0.023115340520184005
51, 0.0281579410416126
52, 0.007300922212427494
53, 0.009584584185495305
54, 0.010996906269901944
55, 0.04127076801576903
56, 0.014237118637417735
57, 0.008376640045427878
58, 0.0027685857464944718
59, 0.001711563960132585
60, 0.008302505090092345
61, 0.009365215460564933
62, 0.011418749584156252
63, 0.0024617060295784947
64, 0.003545431172778026
65, 0.004299832654720777
66, 0.018030547567248548
67, 0.004131727610047889
68, 0.0013238745840530482
69, 5.764674992512518E-4
70, 1.647551953670789E-4
71, 1.1960852329821806E-4
72, 8.565897973566763E-4
73, 8.101182965662221E-4
74, 0.0010302991986210844
75, 0.0
76, 3.427538848036398E-4
77, 3.532689150327375E-4
78, 0.002021468091750666
