k, Result
1, 0.0
2, 0.0
3, 0.0
4, 0.0
5, 0.0
6, 0.0
7, 0.0
8, 1.8816764231589204E-6
9, 0.0
10, 0.0
11, 0.0
12, 0.0
13, 1.3938343875251261E-6
14, 1.1382980831455196E-5
15, 8.548850910154107E-6
16, 7.79850339820308E-5
17, 2.6129748651471026E-4
18, 4.205198347163306E-4
19, 2.3437067108755827E-6
20, 1.1578289724028161E-5
21, 4.269836699891785E-5
22, 1.2435526552076023E-4
23, 2.570528879683375E-4
24, 8.682182928006048E-4
25, 0.002196540743328856
26, 0.001709407755348133
27, 0.0018949354613128561
28, 0.0020143099729878
29, 4.383816280076968E-4
30, 0.0037824670227855806
31, 0.0022946482158872853
32, 0.001967552019961564
33, 0.005930050252065866
34, 0.007004031089911511
35, 0.007396840743174388
36, 0.011841703789346276
37, 0.008115655612014706
38, 0.0032456882607202267
39, 0.009412875813248138
40, 0.012966730717779098
41, 0.005911259571298607
42, 0.01768738145772061
43, 0.010860636488899632
44, 0.015599970117476828
45, 0.03314610982580227
46, 0.013332546758812095
47, 0.013114316195273248
48, 0.005454006346362618
49, 0.010799262604170148
50, 0.01662581425855218
51, 0.007826700838359613
52, 0.02553337898453193
53, 0.01344116958748597
54, 0.01367418009322166
55, 0.04055444430790937
56, 0.013552910488736206
57, 0.007157220375896789
58, 0.005277918882893532
59, 0.002201808319610709
60, 0.004324339626414287
61, 0.007239038563871037
62, 0.002792831694287802
63, 0.011403700731528733
64, 0.005349836538829991
65, 0.004760829930996002
66, 0.018198324954333232
67, 0.004024687027262862
68, 0.0012634153637505643
69, 4.5365162008965634E-4
70, 4.4527942934589475E-4
71, 1.1960852329821806E-4
72, 4.15789664130213E-4
73, 6.858988340583906E-4
74, 1.356970633411697E-4
75, 0.001209511499221435
76, 3.427538848036398E-4
77, 3.532689150327375E-4
78, 0.002021468091750666
