k, Result
1, 0.0
2, 0.0
3, 0.0
4, 0.0
5, 0.0
6, 0.0
7, 0.0
8, 0.0
9, 0.0
10, 0.0
11, 0.0
12, 0.0
13, 0.0
14, 0.0
15, 0.0
16, 0.0
17, 0.0
18, 0.0
19, 0.0
20, 6.969171937625631E-8
21, 0.0
22, 0.0
23, 0.0
24, 0.0
25, 6.883132777901857E-8
26, 5.621225101953183E-7
27, 4.955855600089338E-7
28, 9.357619011557575E-6
29, 1.9327836840348414E-5
30, 2.0766411590929905E-5
31, 1.412316873688011E-7
32, 8.882397114895116E-5
33, 6.856416025489853E-5
34, 7.867902301179785E-6
35, 3.011141152572799E-5
36, 1.6296088777915845E-4
37, 1.6720336190183442E-4
38, 1.361970573512077E-4
39, 3.469653934932955E-4
40, 2.95945114654035E-4
41, 7.157059336982959E-4
42, 7.97725082654342E-4
43, 4.758749413595865E-4
44, 6.446011032810733E-4
45, 7.265189785990183E-4
46, 0.0010837629559461686
47, 9.614095304033629E-4
48, 0.0013703209178704875
49, 0.0013688759213118377
50, 0.0021548437232516617
51, 0.0025160091536232947
52, 0.002809962549535028
53, 0.002428266662685437
54, 0.002269475913156519
55, 0.0017480895828262673
56, 0.0022288656134407986
57, 0.003621152499594144
58, 0.002128591297618333
59, 0.002029043503645735
60, 0.0029171655587960635
61, 0.002947525864663259
62, 0.0036512833776418045
63, 0.003987931317796
64, 0.003167169662682035
65, 0.0016810053530238356
66, 0.0015717702421458133
67, 0.004366349364152654
68, 0.0015637103661678016
69, 9.391926048873195E-4
70, 7.800996894523181E-4
71, 0.0012196478785805457
72, 0.0010223950393843878
73, 0.0013554956509511497
74, 0.0015644513133241372
75, 0.001209511499221435
76, 3.427538848036398E-4
77, 3.532689150327375E-4
78, 0.002021468091750666
